Time_h,Well,OD,Drug_h,Conc_h,Conch_flag,DRUGH_FLAG,Drug_v,DRUGV_FLAG,Conc_v,Concv_flag,Comb_id,Comb,Comb_flags,Full.name,Well_letter,Well_number,quadrant.id,Time_points,plate_id,plate_tp,plate_wellID,mean_1sttp,OD_no1st,strain
0,A1,0.1784,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,1,CB16.CB_16_N_2,CB16.CB_16_N_2_1,CB16.CB_16_N_2_A1,0.1784,0,N
0.577222222,A1,0.2467,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,2,CB16.CB_16_N_2,CB16.CB_16_N_2_2,CB16.CB_16_N_2_A1,0.1784,0,N
1.154166667,A1,0.3243,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,3,CB16.CB_16_N_2,CB16.CB_16_N_2_3,CB16.CB_16_N_2_A1,0.1784,0.0705,N
1.731388889,A1,0.3194,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,4,CB16.CB_16_N_2,CB16.CB_16_N_2_4,CB16.CB_16_N_2_A1,0.1784,0.097675,N
2.365555556,A1,0.1831,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,5,CB16.CB_16_N_2,CB16.CB_16_N_2_5,CB16.CB_16_N_2_A1,0.1784,0.12485,N
2.933055556,A1,0.2871,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,6,CB16.CB_16_N_2,CB16.CB_16_N_2_6,CB16.CB_16_N_2_A1,0.1784,0.1087,N
3.510277778,A1,0.3222,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,7,CB16.CB_16_N_2,CB16.CB_16_N_2_7,CB16.CB_16_N_2_A1,0.1784,0.1438,N
4.0875,A1,0.3326,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,8,CB16.CB_16_N_2,CB16.CB_16_N_2_8,CB16.CB_16_N_2_A1,0.1784,0.1542,N
4.664722222,A1,0.3412,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,9,CB16.CB_16_N_2,CB16.CB_16_N_2_9,CB16.CB_16_N_2_A1,0.1784,0.1628,N
5.241388889,A1,0.3439,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,10,CB16.CB_16_N_2,CB16.CB_16_N_2_10,CB16.CB_16_N_2_A1,0.1784,0.16835,N
5.818611111,A1,0.3523,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,11,CB16.CB_16_N_2,CB16.CB_16_N_2_11,CB16.CB_16_N_2_A1,0.1784,0.1739,N
6.395555556,A1,0.356,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,12,CB16.CB_16_N_2,CB16.CB_16_N_2_12,CB16.CB_16_N_2_A1,0.1784,0.1776,N
6.972777778,A1,0.3652,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,13,CB16.CB_16_N_2,CB16.CB_16_N_2_13,CB16.CB_16_N_2_A1,0.1784,0.1861,N
7.55,A1,0.373,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,14,CB16.CB_16_N_2,CB16.CB_16_N_2_14,CB16.CB_16_N_2_A1,0.1784,0.1946,N
8.126944444,A1,0.3974,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,15,CB16.CB_16_N_2,CB16.CB_16_N_2_15,CB16.CB_16_N_2_A1,0.1784,0.219,N
8.704166667,A1,0.3774,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,16,CB16.CB_16_N_2,CB16.CB_16_N_2_16,CB16.CB_16_N_2_A1,0.1784,0.199,N
9.281111111,A1,0.3915,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,17,CB16.CB_16_N_2,CB16.CB_16_N_2_17,CB16.CB_16_N_2_A1,0.1784,0.2131,N
9.858055556,A1,0.4056,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,18,CB16.CB_16_N_2,CB16.CB_16_N_2_18,CB16.CB_16_N_2_A1,0.1784,0.2272,N
10.43527778,A1,0.4189,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,19,CB16.CB_16_N_2,CB16.CB_16_N_2_19,CB16.CB_16_N_2_A1,0.1784,0.2405,N
11.01222222,A1,0.4139,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,20,CB16.CB_16_N_2,CB16.CB_16_N_2_20,CB16.CB_16_N_2_A1,0.1784,0.2355,N
11.58833333,A1,0.4251,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,21,CB16.CB_16_N_2,CB16.CB_16_N_2_21,CB16.CB_16_N_2_A1,0.1784,0.2467,N
12.16555556,A1,0.4406,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,22,CB16.CB_16_N_2,CB16.CB_16_N_2_22,CB16.CB_16_N_2_A1,0.1784,0.2622,N
12.74166667,A1,0.4423,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,23,CB16.CB_16_N_2,CB16.CB_16_N_2_23,CB16.CB_16_N_2_A1,0.1784,0.2639,N
13.31833333,A1,0.4281,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,24,CB16.CB_16_N_2,CB16.CB_16_N_2_24,CB16.CB_16_N_2_A1,0.1784,0.2497,N
13.89527778,A1,0.4538,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,1,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,1,Q1,25,CB16.CB_16_N_2,CB16.CB_16_N_2_25,CB16.CB_16_N_2_A1,0.1784,0.2754,N
0,A2,0.1772,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,2,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,2,Q2,1,CB16.CB_16_N_2,CB16.CB_16_N_2_1,CB16.CB_16_N_2_A2,0.1772,0,N
0.577222222,A2,0.2438,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,2,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,2,Q2,2,CB16.CB_16_N_2,CB16.CB_16_N_2_2,CB16.CB_16_N_2_A2,0.1772,0,N
1.154166667,A2,0.3098,ERI,0.21,1,ERI_1,TOL,TOL_8,0,8,2,ERI_TOL,ERI_1_TOL_8,ERI_0.21_TOL_0.00,A,2,Q2,3,CB16.CB_16_N_2,CB16.CB_16_N_2_3,CB16.CB_16_N_2_A2,0.1772,0.0636,N
