Strain	Replicate	ABX	ABXConc	DrugX	DrugXConc	normAUC	Exp	cfu_ml
community + Enterococcus faecalis	2	Erythromycin	0.65	Dicumarol	40	0.36985347943807	PM	2030000
community + Enterococcus faecalis	5	Erythromycin	1.15	Dicumarol	0	0.0344047158045888	PM	1770000
community + Enterococcus faecalis	5	Erythromycin	1.15	Benzbromarone	0	0.0285512389726243	PM	1540000
community + Enterococcus faecalis	1	Erythromycin	1.15	Dicumarol	40	0.188427785854481	PM	10000
community + Enterococcus faecalis	1	Erythromycin	1.15	Benzbromarone	20	0.113482488797152	PM	10000
community + Enterococcus faecalis	2	Erythromycin	0.65	Benzbromarone	20	0.370126201465623	PM	10000
community + Enterococcus faecalis	2	Erythromycin	1.15	Dicumarol	40	0.239263223312265	PM	10000
community + Enterococcus faecalis	2	Erythromycin	1.15	Benzbromarone	20	0.17426930039759	PM	10000
community + Enterococcus faecalis	3	Erythromycin	0.65	Benzbromarone	20	0.369722055434877	PM	10000
community + Enterococcus faecalis	3	Erythromycin	1.15	Dicumarol	40	0.241910161118205	PM	10000
community + Enterococcus faecalis	3	Erythromycin	1.15	Benzbromarone	20	0.196247877166739	PM	10000
community + Enterococcus faecalis	4	Erythromycin	0.65	Dicumarol	40	0.332284250741699	PM	10000
community + Enterococcus faecalis	4	Erythromycin	0.65	Benzbromarone	20	0.240774420054651	PM	10000
community + Enterococcus faecalis	4	Erythromycin	1.15	Dicumarol	0	0.0137231269570849	PM	10000
community + Enterococcus faecalis	4	Erythromycin	1.15	Dicumarol	40	0.0654977278731638	PM	10000
community + Enterococcus faecalis	4	Erythromycin	1.15	Benzbromarone	0	0.0121622046182181	PM	10000
community + Enterococcus faecalis	4	Erythromycin	1.15	Benzbromarone	20	0.0234139434502855	PM	10000
community + Enterococcus faecalis	5	Erythromycin	0.65	Benzbromarone	20	0.286642990282068	PM	10000
community + Enterococcus faecalis	5	Erythromycin	1.15	Dicumarol	40	0.176980099664531	PM	10000
community + Enterococcus faecalis	5	Erythromycin	1.15	Benzbromarone	20	0.166043475021237	PM	10000
community + Enterococcus faecalis	6	Erythromycin	0.65	Dicumarol	40	0.400055596028227	PM	10000
community + Enterococcus faecalis	6	Erythromycin	0.65	Benzbromarone	20	0.388348100527884	PM	10000
community + Enterococcus faecalis	6	Erythromycin	1.15	Dicumarol	0	0.0240643096969329	PM	10000
community + Enterococcus faecalis	6	Erythromycin	1.15	Dicumarol	40	0.23700139637565	PM	10000
community + Enterococcus faecalis	6	Erythromycin	1.15	Benzbromarone	0	0.024193609926313	PM	10000
community + Enterococcus faecalis	6	Erythromycin	1.15	Benzbromarone	20	0.184969857053349	PM	10000
