"Time_h","Well","OD","Drug_h","Conc_h","Conch_flag","DRUGH_FLAG","Drug_v","DRUGV_FLAG","Conc_v","Concv_flag","Comb_id","Comb","Comb_flags","Full.name","Well_letter","Well_number","quadrant.id","Time_points","plate_id","plate_tp","plate_wellID","strain","mean_1sttp","OD_no1st"
0,"A1",0.1518,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",1,"P4_K_2","P4_K_2_1","P4_K_2_A1","K",0.1518,0
0.577222222222222,"A1",0.1577,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",2,"P4_K_2","P4_K_2_2","P4_K_2_A1","K",0.1518,0
1.15416666666667,"A1",0.1992,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",3,"P4_K_2","P4_K_2_3","P4_K_2_A1","K",0.1518,0.0474
1.73055555555556,"A1",0.1997,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",4,"P4_K_2","P4_K_2_4","P4_K_2_A1","K",0.1518,0.0479
2.30722222222222,"A1",0.1913,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",5,"P4_K_2","P4_K_2_5","P4_K_2_A1","K",0.1518,0.0395
2.88527777777778,"A1",0.1992,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",6,"P4_K_2","P4_K_2_6","P4_K_2_A1","K",0.1518,0.0474
3.46222222222222,"A1",0.2024,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",7,"P4_K_2","P4_K_2_7","P4_K_2_A1","K",0.1518,0.0506
4.03916666666667,"A1",0.1907,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",8,"P4_K_2","P4_K_2_8","P4_K_2_A1","K",0.1518,0.0389
4.61555555555556,"A1",0.1901,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",9,"P4_K_2","P4_K_2_9","P4_K_2_A1","K",0.1518,0.0383
5.19305555555556,"A1",0.2023,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",10,"P4_K_2","P4_K_2_10","P4_K_2_A1","K",0.1518,0.0505
5.77,"A1",0.2085,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",11,"P4_K_2","P4_K_2_11","P4_K_2_A1","K",0.1518,0.0567
6.34638888888889,"A1",0.1859,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",12,"P4_K_2","P4_K_2_12","P4_K_2_A1","K",0.1518,0.0341
6.92333333333333,"A1",0.1811,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",13,"P4_K_2","P4_K_2_13","P4_K_2_A1","K",0.1518,0.0293
7.50055555555556,"A1",0.1805,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",14,"P4_K_2","P4_K_2_14","P4_K_2_A1","K",0.1518,0.0287
8.07722222222222,"A1",0.2034,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",15,"P4_K_2","P4_K_2_15","P4_K_2_A1","K",0.1518,0.0516
8.65361111111111,"A1",0.1899,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",16,"P4_K_2","P4_K_2_16","P4_K_2_A1","K",0.1518,0.0381
9.23,"A1",0.1932,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",17,"P4_K_2","P4_K_2_17","P4_K_2_A1","K",0.1518,0.0414
9.80694444444445,"A1",0.1967,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",18,"P4_K_2","P4_K_2_18","P4_K_2_A1","K",0.1518,0.0449
10.3836111111111,"A1",0.1824,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",19,"P4_K_2","P4_K_2_19","P4_K_2_A1","K",0.1518,0.0306
10.96,"A1",0.1952,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",20,"P4_K_2","P4_K_2_20","P4_K_2_A1","K",0.1518,0.0434
11.5366666666667,"A1",0.1935,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",21,"P4_K_2","P4_K_2_21","P4_K_2_A1","K",0.1518,0.0417
12.1133333333333,"A1",0.1842,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",22,"P4_K_2","P4_K_2_22","P4_K_2_A1","K",0.1518,0.0324
12.69,"A1",0.1755,"Ery_P",0.21,1,"Ery_P_1","CUM","CUM_1",160,1,1,"Ery_P_CUM","Ery_P_1_CUM_1","Ery_P_0.21_CUM_160","A",1,"Q1",23,"P4_K_2","P4_K_2_23","P4_K_2_A1","K",0.1518,0.0237
