species_name	Pathobiont/Pathogen/Disease-associated	NT_code
Citrobacter freundii	FALSE	
Citrobacter gillenii	TRUE	
Citrobacter koseri	TRUE	
Citrobacter werkmanii	TRUE	
Citrobacter youngae	TRUE	
Clostridium acetobutylicum	TRUE	
Clostridium aminobutyricum	FALSE	
Clostridium baratii	TRUE	
Clostridium beijerinckii	FALSE	
Clostridium botulinum	TRUE	
Clostridium butyricum	FALSE	
Clostridium cadaveris	FALSE	
Clostridium disporicum	FALSE	
Clostridium fallax	TRUE	
Clostridium malenominatum	FALSE	
Clostridium novyi	TRUE	
Clostridium paraputrificum	FALSE	
Clostridium pasteurianum	FALSE	
Clostridium septicum	TRUE	
Clostridium sp.	NA	
Clostridium sporogenes	FALSE	
Clostridium subterminale	TRUE	
Clostridium tertium	TRUE	
Clostridium tetani	TRUE	
Coprobacillus cateniformis	FALSE	
Corynebacterium accolens	TRUE	
Corynebacterium amycolatum	TRUE	
Corynebacterium aurimucosum	TRUE	
Corynebacterium diphtheriae	TRUE	
Corynebacterium glutamicum	FALSE	
Corynebacterium jeikeium	TRUE	
Corynebacterium minutissimum	TRUE	
Corynebacterium pseudodiphtheriticum	TRUE	
Corynebacterium simulans	FALSE	
Corynebacterium sp.	NA	
Corynebacterium striatum	TRUE	
Corynebacterium urealyticum	TRUE	
Corynebacterium xerosis	TRUE	
Coxiella burnetii	TRUE	
Cutibacterium acnes	FALSE	
Cutibacterium avidum	TRUE	
Cutibacterium granulosum	TRUE	
Desulfovibrio desulfuricans	FALSE	
Desulfovibrio fairfieldensis	TRUE	
Desulfovibrio piger	FALSE	
Desulfovibrio sp.	FALSE	
Desulfovibrio vulgaris	TRUE	
Dialister invisus	FALSE	
Dialister micraerophilus	TRUE	
Dialister pneumosintes	TRUE	
Dialister propionicifaciens	TRUE	
Edwardsiella ictaluri	TRUE	
Edwardsiella tarda	TRUE	
Eggerthia catenaformis	TRUE	
Ehrlichia chaffeensis	TRUE	
Eikenella corrodens	TRUE	
Enterobacter cancerogenus	TRUE	
Enterobacter cloacae	TRUE	
Enterobacter hormaechei	TRUE	
Enterobacter sp.	NA	
Enterococcus avium	TRUE	
Enterococcus casseliflavus	TRUE	
Enterococcus durans	TRUE	
Enterococcus faecalis	TRUE	
Enterococcus faecium	TRUE	
Enterococcus gallinarum	TRUE	
Enterococcus hirae	TRUE	
Enterococcus raffinosus	TRUE	
Enterococcus sp.	TRUE	
Eubacterium callanderi	TRUE	
Eubacterium limosum	FALSE	
Eubacterium sp.	FALSE	
Faecalicatena contorta	FALSE	
Faecalitalea cylindroides	FALSE	
Finegoldia magna	TRUE	
Flavonifractor plautii	FALSE	
Francisella tularensis	TRUE	
Fusobacterium mortiferum	TRUE	
Fusobacterium necrogenes	TRUE	
Fusobacterium necrophorum	TRUE	
Fusobacterium sp.	TRUE	
Fusobacterium varium	TRUE	
Gemella morbillorum	FALSE	
Gemella sanguinis	TRUE	
Glaesserella parasuis	TRUE	
Haemophilus influenzae	TRUE	
Haemophilus parainfluenzae	TRUE	
